Breastplate, 400 'gp',20.0,0.0,False, 14, True, True,Medium
Chain Mail, 75 'gp',55.0,13.0,True, 16, False, False,Heavy
Chain Shirt, 50 'gp',20.0,0.0,False, 13, True, True,Medium
Half Plate, 750 'gp',40.0,0.0,True, 15, True, True,Medium
Hide, 10 'gp',12.0,0.0,False, 12, True, True,Medium
Leather, 10 'gp',10.0,0.0,False, 11, True, True,Light
Padded, 5 'gp',8.0,0.0,True, 11, True, True,Light
Plate, 1500 'gp',65.0,15.0,True, 18, False, False,Heavy
Ring Mail, 30 'gp',40.0,0.0,True, 14, False, False,Heavy
Scale Mail, 50 'gp',45.0,0.0,True, 14, True, True,Medium
Shield, 10 'gp',6.0,0.0,False, 2, False, False,Shield
Splint, 200 'gp',60.0,15.0,True, 17, False, False,Heavy
Studded Leather, 45 'gp',13.0,0.0,False, 12, True, True,Light
