52,1992,Summer,Barcelona
52,2012,Summer,London
52,1920,Summer,Antwerpen
52,1900,Summer,Paris
52,1988,Winter,Calgary
52,1992,Winter,Albertville
52,1994,Winter,Lillehammer
52,1932,Summer,Los Angeles
52,2002,Winter,Salt Lake City
52,1952,Summer,Helsinki
52,1980,Winter,Lake Placid
52,2000,Summer,Sydney
52,1996,Summer,Atlanta
52,1912,Summer,Stockholm
52,1924,Summer,Paris
52,2014,Winter,Sochi
52,1948,Summer,London
52,1998,Winter,Nagano
52,2006,Winter,Torino
52,2008,Summer,Beijing
52,2016,Summer,Rio de Janeiro
52,2004,Summer,Athina
52,1960,Winter,Squaw Valley
52,1964,Winter,Innsbruck
52,1984,Winter,Sarajevo
52,1984,Summer,Los Angeles
52,1968,Summer,Mexico City
52,1972,Summer,Munich
52,1988,Summer,Seoul
52,1936,Summer,Berlin
52,1952,Winter,Oslo
52,1956,Winter,Cortina d'Ampezzo
52,1956,Summer,Melbourne
52,1960,Summer,Roma
52,1928,Summer,Amsterdam
52,1976,Summer,Montreal
52,1980,Summer,Moskva
52,1964,Summer,Tokyo
52,2010,Winter,Vancouver
52,1968,Winter,Grenoble
52,1906,Summer,Athina
52,1972,Winter,Sapporo
52,1976,Winter,Innsbruck
52,1924,Winter,Chamonix
52,1904,Summer,St. Louis
52,1928,Winter,Sankt Moritz
52,1908,Summer,London
52,1948,Winter,Sankt Moritz
52,1932,Winter,Lake Placid
52,1936,Winter,Garmisch-Partenkirchen
52,1896,Summer,Athina
